cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
62600,19140650,1193448,20250711,61300,62800,61200,+1600,2,+0.32
61000,14768473,899089,20250710,60600,61200,60400,+600,2,+0.25
60400,17533415,1062832,20250709,61400,61400,60200,-1000,5,+0.30
61400,20213724,1243103,20250708,61600,62400,61000,-300,5,+0.34
61700,17164708,1069011,20250707,62900,63300,61700,-1600,5,+0.29
63300,23748959,1509811,20250704,64700,64700,63000,-500,5,+0.40
63800,32040639,2006401,20250703,61300,63800,61100,+3000,2,+0.54
60800,15047951,909033,20250702,60200,60900,59800,+600,2,+0.25
60200,13650991,827469,20250701,60400,61100,60200,+400,2,+0.23
59800,17110294,1030779,20250630,61200,61200,59800,-1000,5,+0.29
60800,17340470,1053939,20250627,60100,61600,60000,+600,2,+0.29
60200,19402300,1171825,20250626,61300,61300,59900,-1100,5,+0.33
61300,23933612,1457360,20250625,61500,61600,60300,+800,2,+0.40
60500,23737899,1427749,20250624,59400,60600,59300,+2500,2,+0.40
58000,16551694,960057,20250623,58400,58500,57600,-1500,5,+0.28
59500,18072251,1074366,20250620,59400,59800,59100,+300,2,+0.31
59200,16876278,1003457,20250619,60500,60600,59000,-600,5,+0.29
59800,17620705,1042741,20250618,58000,59800,57900,+1700,2,+0.30
58100,28637003,1679976,20250617,57800,59800,57400,+900,2,+0.48
57200,22200872,1270631,20250616,58000,58100,56900,-1100,5,+0.38
58300,20705979,1210886,20250613,60200,60200,57700,-1200,5,+0.35
59500,17755115,1057637,20250612,59700,60000,59300,-400,5,+0.30
59900,13610734,813621,20250611,59500,60100,59400,+700,2,+0.23
59200,15305760,906587,20250610,60000,60100,58800,-600,5,+0.26
59800,19609659,1177551,20250609,60400,60400,59500,+700,2,+0.33
59100,23266027,1374247,20250605,58100,59900,57900,+1300,2,+0.39
57800,19649983,1130355,20250604,57200,57900,56800,+1000,2,+0.33
56800,12870515,730319,20250602,56300,57300,56200,+600,2,+0.22
56200,26219683,1480159,20250530,56200,57200,55800,+100,2,+0.44
56100,12936810,725424,20250529,56200,56400,55600,+200,2,+0.22
55900,17516283,973210,20250528,54300,56100,54200,+2000,2,+0.30
53900,13439520,726275,20250527,54200,54500,53800,-800,5,+0.23
54700,10901337,592151,20250526,53900,55000,53700,+500,2,+0.18
54200,11247115,613227,20250523,55000,55200,54100,-500,5,+0.19
54700,15254278,836539,20250522,55300,55500,54500,-1000,5,+0.26
55700,7794181,436953,20250521,56200,56600,55700,-200,5,+0.13
55900,9080577,509072,20250520,56200,56700,55700,+100,2,+0.15
55800,9802105,547396,20250519,56400,56400,55500,-1000,5,+0.17
56800,10385352,591058,20250516,57400,57500,56700,-500,5,+0.18
57300,13139736,758309,20250515,57400,58600,57100,-100,5,+0.22
57400,12468089,716126,20250514,57500,57900,57000,+500,2,+0.21
56900,16842801,964867,20250513,57700,58200,56800,-700,5,+0.28
57600,15414702,865629,20250512,55200,57600,55000,+2800,2,+0.26
54800,7814322,427710,20250509,54700,55000,54400,+200,2,+0.13
54600,16320532,894447,20250508,55100,55500,54500,0,3,+0.28
54600,17136991,934600,20250507,54500,55000,54300,+300,2,+0.29
54300,22454204,1227727,20250502,55000,55500,54200,-1200,5,+0.38
55500,13014189,723346,20250430,55900,56000,55300,-300,5,+0.22
55800,10295518,576762,20250429,55700,56500,55600,0,3,+0.17
55800,9341518,520363,20250428,55800,55900,55500,+100,2,+0.16
55700,12183303,681776,20250425,56400,56400,55600,0,3,+0.21
55700,10580377,587440,20250424,55600,55800,55200,0,3,+0.18
55700,11148692,622063,20250423,56000,56100,55500,+700,2,+0.19
55000,9532469,524576,20250422,54900,55500,54700,-400,5,+0.16
55400,5941847,329495,20250421,55200,56000,55100,+100,2,+0.10
55300,5848342,323290,20250418,55300,55600,54900,+200,2,+0.10
55100,10867069,597525,20250417,54700,55300,54500,+400,2,+0.18
54700,14437025,795695,20250416,56000,56200,54500,-1900,5,+0.24
56600,8998640,510391,20250415,56300,57100,56200,+400,2,+0.15
56200,12852613,722365,20250414,56300,56700,55800,+1000,2,+0.22
55200,13930480,768599,20250411,55600,55700,54800,-1200,5,+0.24
56400,22948172,1287044,20250410,56600,56700,55000,+3400,2,+0.39
53000,20576960,1101141,20250409,53300,54300,52900,-500,5,+0.35
53500,25532845,1382306,20250408,55000,55300,53300,+300,2,+0.43
53200,31998883,1713618,20250407,53300,54100,53100,-2900,5,+0.54
56100,23527139,1330710,20250404,56200,58200,55700,-1500,5,+0.40
57600,19508076,1118163,20250403,56900,57800,56900,-1200,5,+0.33
58800,14402297,847775,20250402,58800,59400,58300,0,3,+0.24
58800,13841706,813517,20250401,58700,59600,57900,+1000,2,+0.23
57800,17633494,1029324,20250331,59500,59700,57800,-2400,5,+0.30
60200,16282514,983700,20250328,60700,61100,60000,-1600,5,+0.28
61800,20389790,1256946,20250327,60900,62000,60800,+400,2,+0.34
61400,16431645,1001627,20250326,59800,61400,59700,+1600,2,+0.28
59800,17259455,1039802,20250325,60900,61100,59500,-700,5,+0.29
60500,14088094,860213,20250324,61200,61600,60500,-1200,5,+0.24
61700,40155612,2460691,20250321,60900,61700,60400,+1500,2,+0.68
60200,34989004,2088152,20250320,59200,60300,58500,+1700,2,+0.59
58500,29421759,1727221,20250319,57400,59200,57400,+900,2,+0.50
57600,28138594,1638462,20250318,58800,59000,57300,0,3,+0.48
